feature,judge_importance,fan_importance,difference,abs_difference
ballroom_partner_Artem Chigvintsev,0.06589633017655219,0.004304809925239687,-0.06159152025131251,0.06159152025131251
ballroom_partner_Witney Carson,0.05743850218320162,0.008442749965785737,-0.04899575221741589,0.04899575221741589
age,0.4183536150954046,0.44697617237414833,0.028622557278743743,0.028622557278743743
industry_clean_Social Media Personality,0.02984257762888761,0.0018265178161805565,-0.028016059812707054,0.028016059812707054
ballroom_partner_Kym Johnson,0.00023747597689307916,0.026988736039292166,0.02675126006239909,0.02675126006239909
ballroom_partner_Chelsie Hightower,0.005343427158857362,0.03208853976873877,0.02674511260988141,0.02674511260988141
ballroom_partner_Cheryl Burke,0.0024014257996454553,0.02889214707269327,0.026490721273047815,0.026490721273047815
ballroom_partner_Charlotte Jorgensen,0.0,0.025041262461771793,0.025041262461771793,0.025041262461771793
home_country_clean_Chile,1.9110906231277267e-05,0.02259698700450408,0.022577876098272803,0.022577876098272803
ballroom_partner_Derek Hough,0.024215152989625698,0.04293848864154296,0.018723335651917264,0.018723335651917264
ballroom_partner_Mark Ballas,0.005654419453241107,0.024359181439637344,0.018704761986396236,0.018704761986396236
industry_clean_TV Personality,0.02451903250161319,0.009906417528260108,-0.014612614973353083,0.014612614973353083
ballroom_partner_Ashly DelGrosso,0.014911248350435134,0.0007136751713771476,-0.014197573179057987,0.014197573179057987
ballroom_partner_Allison Holker,0.014808479721260944,0.0018524855278915357,-0.01295599419336941,0.01295599419336941
ballroom_partner_Emma Slater,0.027020153899217646,0.014377016764229538,-0.012643137134988108,0.012643137134988108
ballroom_partner_Jonathan Roberts,0.0006804747329822039,0.012641160569531525,0.011960685836549322,0.011960685836549322
industry_clean_Athlete,0.024127627734440167,0.034891080626607375,0.010763452892167208,0.010763452892167208
ballroom_partner_Keo Motsepe,0.0007188629524491923,0.010453684775794399,0.009734821823345206,0.009734821823345206
ballroom_partner_Valentin Chmerkovskiy,0.05147031733178472,0.04240314415821799,-0.009067173173566728,0.009067173173566728
ballroom_partner_Lindsay Arnold,0.0032679851285028036,0.011499058913470077,0.008231073784967274,0.008231073784967274
ballroom_partner_Daniella Karagach,0.00925272259869438,0.0011085208372597838,-0.008144201761434596,0.008144201761434596
